X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,8,0.843,0.108,49.293,1.633,0.995,2.893,,,7.642,Limonite
,,9,0.866,0.107,51.857,1.885,1.453,2.237,,,7.544,Limonite
,,10,0.907,0.097,52.602,2.067,1.708,2.333,,,7.313,Limonite
,,11,0.899,0.131,49.401,1.453,1.432,3.341,,,7.338,Limonite
,,12,0.943,0.117,50.485,1.660,1.924,2.919,,,7.657,Limonite
,,13,0.966,0.110,51.929,1.798,1.803,2.753,,,7.165,Limonite
,,14,0.922,0.108,52.370,1.505,1.526,2.737,,,7.275,Limonite
,,15,0.932,0.104,51.179,1.761,1.919,2.948,,,7.383,Limonite
,,16,0.933,0.109,52.081,1.601,1.599,2.793,,,7.217,Limonite
,,17,0.955,0.116,51.700,1.603,1.394,2.734,,,7.393,Limonite
,,18,1.027,0.112,52.038,1.641,1.627,2.605,,,7.301,Limonite
,,19,1.077,0.121,51.168,1.790,1.719,2.895,,,7.218,Limonite
,,20,1.067,0.113,50.981,1.817,1.540,2.871,,,7.065,Limonite
,,21,1.092,0.111,51.263,2.115,1.685,2.696,,,7.097,Limonite
,,22,1.091,0.115,51.656,1.939,1.549,2.646,,,7.630,Limonite
,,23,1.022,0.109,50.731,1.960,1.601,2.952,,,7.429,Limonite
,,24,1.111,0.122,50.641,2.197,1.388,2.973,,,6.920,Limonite
,,25,1.237,0.104,49.222,2.507,1.366,4.877,,,6.471,Limonite
,,26,1.112,0.116,51.589,1.652,1.260,2.744,,,6.447,Limonite
,,27,1.194,0.121,51.409,2.104,1.435,2.958,,,6.598,Limonite
,,28,1.276,0.117,52.447,2.297,1.722,2.712,,,6.472,Limonite
,,29,1.331,0.131,50.448,2.585,2.065,3.023,,,6.645,Limonite
,,30,1.280,0.115,51.242,2.995,1.383,2.916,,,6.648,Limonite
,,31,1.313,0.120,50.874,3.103,1.599,2.857,,,6.892,Limonite
,,32,1.293,0.128,50.905,2.852,1.590,2.613,,,6.553,Limonite
,,33,1.172,0.102,55.469,2.624,1.212,2.110,,,5.315,Limonite
