X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,30,1.443,0.159,49.092,3.015,1.125,2.686,,,5.707,Limonite
,,31,1.549,0.128,49.310,3.391,1.444,3.070,,,5.974,Limonite
,,32,1.537,0.153,45.496,6.788,1.409,2.499,,,5.242,Limonite
,,33,1.709,0.156,43.925,6.970,1.263,3.151,,,4.899,Limonite
,,34,1.792,0.142,49.608,3.348,1.248,3.122,,,5.186,Limonite
,,35,1.731,0.167,48.724,4.477,1.081,2.700,,,5.509,Limonite
,,36,1.538,0.185,41.923,11.647,1.607,2.526,,,4.618,Limonite
,,37,1.589,0.156,45.142,7.245,1.104,2.666,,,6.147,Limonite
,,38,1.594,0.154,40.875,11.129,1.869,3.008,,,5.549,Limonite
,,39,1.584,0.136,41.616,11.206,2.162,2.959,,,4.660,Limonite
,,40,1.433,0.156,37.742,18.013,1.872,2.855,,,3.926,Limonite
,,41,1.543,0.175,29.671,20.407,3.571,2.673,,,3.793,Saprolite
,,42,2.207,0.211,24.898,24.551,6.776,2.172,,,3.363,Saprolite
,,43,2.403,0.075,11.806,32.462,19.692,0.902,,,1.609,Saprolite
,,44,1.295,0.012,7.798,33.607,25.979,0.520,,,1.312,Bedrock
20,DDG 029,1,0.325,0.001,52.451,1.440,0.634,7.048,4.998,0.473,0.066,Limonite
,,2,0.188,0.001,51.491,1.044,0.491,6.128,5.776,0.358,0.053,Limonite
,,3,0.175,0.001,49.375,1.332,0.707,6.809,6.410,0.351,0.066,Limonite
,,4,0.138,0.001,48.266,1.018,0.593,4.438,8.761,0.267,0.051,Limonite
,,5,0.551,0.001,48.298,1.726,0.490,6.965,6.909,0.387,0.074,Limonite
,,6,0.426,0.001,43.277,2.165,0.536,6.327,8.957,0.370,0.077,Limonite
,,7,0.309,0.001,34.461,2.664,0.669,5.515,12.982,0.324,0.077,Limonite
,,8,0.565,0.001,46.390,2.284,0.563,6.865,7.368,0.475,0.073,Limonite
,,9,0.767,0.001,49.656,1.879,0.405,5.834,6.663,0.404,0.057,Limonite
,,10,0.878,0.001,49.334,2.007,0.465,5.415,6.647,0.360,0.057,Limonite
,,11,0.975,0.001,50.088,2.331,0.444,5.714,5.773,0.346,0.056,Limonite
,,12,1.080,0.001,50.426,2.907,0.460,6.995,4.595,0.350,0.065,Limonite
,,13,1.302,0.001,50.664,2.852,0.400,6.301,4.481,0.312,0.066,Limonite
,,14,1.255,0.001,47.975,2.776,0.463,6.205,5.346,0.323,0.060,Limonite
,,15,1.425,0.001,50.670,3.387,0.515,7.347,4.041,0.366,0.065,Limonite
,,16,1.290,0.113,46.577,2.505,0.557,4.246,7.394,1.102,0.068,Limonite
,,17,1.937,0.868,40.822,0.476,0.812,0.023,10.834,3.856,0.067,Limonite
,,18,1.621,0.086,46.845,4.229,0.796,5.777,5.405,1.305,0.079,Limonite
,,19,1.826,0.138,48.465,3.047,0.748,5.569,4.634,1.606,0.064,Limonite
,,20,0.897,0.055,44.201,3.011,0.642,5.070,7.751,0.918,0.091,Limonite
,,21,0.213,0.016,6.396,33.674,37.401,0.744,1.217,0.131,1.621,Limonite
,,22,0.828,0.225,39.799,6.277,1.277,2.427,10.274,1.413,0.118,Limonite
,,23,1.264,0.047,46.130,6.486,2.250,4.910,5.523,0.865,0.081,Limonite
,,24,1.510,0.225,35.940,14.712,4.389,2.621,6.263,1.697,0.106,Saprolite
,,25,1.004,0.032,29.973,28.467,8.651,3.283,4.091,0.556,0.315,Saprolite
,,26,2.208,0.095,32.734,20.102,5.728,3.067,4.052,0.951,0.458,Saprolite
,,27,0.266,0.016,6.170,32.583,36.170,0.721,0.886,0.141,1.462,Bedrock
,,28,0.312,0.016,6.615,34.048,32.107,0.776,1.404,0.140,1.622,Bedrock
21,DDG 025,1,0.206,0.070,53.130,0.907,1.106,3.259,,,6.532,Limonite
,,2,0.796,0.090,51.743,1.127,1.123,3.050,,,7.318,Limonite
,,3,0.823,0.085,52.417,0.874,1.068,3.048,,,7.624,Limonite
,,4,0.834,0.085,52.158,1.179,1.171,3.107,,,7.601,Limonite
,,5,0.915,0.093,50.863,1.110,0.942,3.311,,,7.621,Limonite
,,6,1.247,0.120,50.119,1.543,1.286,3.241,,,7.178,Limonite
,,7,1.368,0.115,51.669,1.910,1.359,3.042,,,6.463,Limonite
,,8,1.529,0.101,52.747,1.946,1.204,3.019,,,6.144,Limonite
,,9,1.518,0.104,52.326,1.939,1.380,3.344,,,5.964,Limonite
,,10,1.646,0.102,52.756,2.055,1.138,3.078,,,5.644,Limonite
,,11,1.785,0.132,49.224,2.183,1.433,3.566,,,5.919,Limonite
,,12,1.774,0.131,45.600,3.728,1.723,3.585,,,6.682,Limonite
,,13,1.722,0.114,48.528,2.251,1.521,2.926,,,7.891,Limonite
,,14,1.780,0.137,48.655,2.510,1.681,3.165,,,7.463,Limonite
,,15,1.390,0.185,46.979,1.884,1.361,3.115,,,6.527,Limonite
,,16,1.295,0.240,44.977,1.645,1.013,3.768,,,6.695,Limonite
,,17,1.262,0.144,48.170,2.133,1.299,4.824,,,6.293,Limonite
,,18,1.724,0.193,44.103,4.140,1.612,3.990,,,6.652,Limonite
,,19,0.231,0.002,7.277,33.105,33.534,0.454,,,1.503,Bedrock
,,20,0.226,0.002,6.978,32.802,33.284,0.457,,,1.394,Bedrock
,,21,0.153,0.001,5.796,17.319,18.580,0.370,,,1.054,Bedrock
22,DDG 026,1,0.273,0.073,52.363,0.805,1.301,3.469,,,7.671,Limonite
,,2,0.692,0.086,52.088,0.826,0.938,3.216,,,7.043,Limonite
,,3,0.744,0.087,52.567,0.681,1.021,3.085,,,7.175,Limonite
,,4,0.742,0.084,51.783,0.759,1.103,3.149,,,7.437,Limonite
,,5,0.904,0.092,50.741,0.847,1.168,2.976,,,7.364,Limonite
,,6,1.240,0.100,51.892,1.289,1.367,2.564,,,6.776,Limonite
,,7,1.272,0.103,52.780,1.224,0.899,2.342,,,5.879,Limonite
,,8,1.359,0.127,49.333,1.312,0.937,3.043,,,6.394,Limonite
,,9,1.409,0.130,49.893,1.273,1.283,2.647,,,6.320,Limonite
,,10,1.533,0.127,49.969,1.248,0.964,3.134,,,6.066,Limonite
,,11,1.756,0.158,49.699,1.312,1.093,3.000,,,6.027,Limonite
,,12,1.640,0.150,51.484,1.497,1.000,2.636,,,4.606,Limonite
,,13,1.526,0.126,49.802,1.291,1.276,3.566,,,6.002,Limonite
,,14,1.425,0.111,51.537,1.491,1.027,3.481,,,5.581,Limonite
,,15,1.488,0.129,51.529,1.647,1.177,3.029,,,5.678,Limonite
,,16,1.258,0.126,51.162,1.488,1.322,3.095,,,5.988,Limonite
,,17,1.250,0.145,50.279,1.532,1.064,3.193,,,6.333,Limonite
,,18,1.307,0.125,50.868,1.431,1.133,2.945,,,7.146,Limonite
,,19,1.381,0.131,48.592,0.286,0.006,3.111,,,2.359,Limonite
,,20,1.304,0.143,50.044,1.515,1.244,2.964,,,7.231,Limonite
,,21,1.348,0.141,49.541,1.590,1.249,3.074,,,6.851,Limonite
,,22,1.165,0.167,48.025,1.488,1.103,3.324,,,7.803,Limonite
,,23,1.197,0.141,50.147,1.537,1.058,3.121,,,7.001,Limonite
,,24,1.322,0.136,49.866,1.806,1.417,3.124,,,7.143,Limonite
,,25,1.566,0.131,49.712,1.968,1.345,3.251,,,7.180,Limonite
,,26,1.532,0.115,46.027,5.512,2.466,3.030,,,6.412,Limonite
,,27,0.248,0.003,7.709,34.635,32.671,0.544,,,1.617,Saprolite
,,28,1.434,0.090,31.274,19.287,4.460,2.653,,,4.664,Saprolite
,,29,1.254,0.078,30.690,18.894,5.761,3.121,,,4.585,Saprolite
,,30,1.362,0.066,26.942,18.219,8.387,1.899,,,4.522,Saprolite
,,31,0.865,0.016,11.427,30.611,17.402,0.955,,,2.439,Saprolite
,,32,0.675,0.005,8.009,33.133,28.460,0.495,,,1.671,Bedrock
,,33,0.422,0.004,7.847,34.020,29.033,0.510,,,1.843,Bedrock
23,DDG 027,1,0.969,0.088,50.993,1.908,2.032,3.059,,,7.200,Limonite
,,2,0.972,0.086,50.770,1.478,1.525,2.980,,,7.073,Limonite
,,3,0.748,0.079,49.461,0.969,1.468,2.984,,,8.304,Limonite
,,4,0.949,0.089,51.033,1.274,1.171,2.846,,,7.519,Limonite
,,5,1.270,0.134,48.886,1.558,1.174,2.954,,,6.563,Limonite
,,6,1.428,0.110,50.872,1.593,1.339,2.749,,,6.196,Limonite
,,7,1.392,0.111,51.118,2.050,1.779,3.043,,,5.965,Limonite
,,8,1.120,0.133,49.332,1.775,1.320,3.123,,,6.172,Limonite
,,9,1.578,0.109,50.615,2.442,2.780,3.408,,,5.951,Limonite
,,10,1.359,0.116,50.895,1.492,1.465,2.909,,,6.031,Limonite
,,11,1.499,0.139,48.870,1.650,1.541,3.248,,,6.217,Limonite
,,12,1.278,0.112,51.239,1.615,1.462,2.892,,,6.281,Limonite
,,13,1.446,0.115,50.830,1.502,1.501,2.914,,,6.093,Limonite
,,14,1.237,0.123,50.101,1.635,1.586,2.478,,,6.333,Limonite
,,15,1.177,0.137,47.121,1.336,1.222,3.193,,,7.613,Limonite
,,16,0.951,0.134,44.109,3.312,1.858,2.783,,,6.723,Limonite
,,17,1.149,0.203,44.282,2.635,1.598,2.672,,,6.575,Limonite
,,18,1.414,0.124,47.855,2.365,1.394,3.169,,,6.608,Limonite
,,19,1.379,0.128,48.851,2.407,1.552,3.143,,,7.075,Limonite
,,20,1.218,0.172,49.466,1.650,1.397,3.483,,,6.131,Limonite
,,21,1.520,0.478,28.631,1.168,1.552,2.875,,,4.900,Limonite
,,22,1.311,0.494,27.822,1.177,1.252,2.314,,,4.333,Limonite
,,23,1.217,0.137,49.812,2.445,2.201,3.363,,,6.207,Limonite
,,24,1.566,0.127,48.044,2.773,1.363,2.588,,,5.851,Limonite
,,25,1.276,0.125,47.887,2.469,1.319,3.934,,,5.947,Limonite
,,26,1.530,0.117,46.993,3.826,1.304,4.122,,,6.514,Limonite
,,27,1.503,0.106,40.391,11.593,4.050,3.377,,,5.946,Saprolite
,,28,1.849,0.092,34.242,16.273,8.249,2.928,,,4.577,Saprolite
,,29,1.899,0.033,13.684,29.326,22.555,1.124,,,1.795,Saprolite
,,30,1.164,0.003,7.363,34.810,31.473,0.487,,,1.139,Saprolite
,,31,1.648,0.009,8.890,34.868,27.856,0.628,,,1.375,Saprolite
,,32,1.572,0.012,9.623,35.653,26.840,0.658,,,1.417,Saprolite
,,33,1.687,0.030,14.092,33.998,21.925,0.907,,,2.254,Saprolite
,,34,1.597,0.046,18.701,32.569,15.891,1.342,,,2.711,Saprolite
,,35,1.668,0.041,17.801,27.875,18.036,1.307,,,2.423,Saprolite
,,36,1.334,0.027,13.524,28.252,20.533,1.068,,,2.062,Saprolite
,,37,1.474,0.042,17.693,28.039,17.486,1.332,,,2.359,Saprolite
,,38,0.669,0.005,7.868,31.317,27.612,0.426,,,1.161,Bedrock
,,39,1.383,0.025,9.848,32.786,21.823,0.658,,,1.595,Bedrock
,,40,0.816,0.012,9.444,32.655,24.555,0.656,,,1.498,Bedrock
,,41,0.594,0.007,8.581,34.309,27.595,0.584,,,1.595,Bedrock
24,DDG 015,1,0.245,0.001,51.229,4.062,1.159,8.785,4.053,0.423,0.086,Limonite
,,2,0.137,0.001,48.801,2.285,0.618,7.729,6.375,0.362,0.067,Limonite
,,3,0.164,0.001,43.417,2.767,0.539,7.075,8.245,0.347,0.080,Limonite
,,4,0.220,0.001,40.777,5.200,0.839,4.765,10.986,0.287,0.065,Limonite
,,5,0.258,0.021,36.842,12.824,0.645,2.473,13.630,0.238,0.058,Limonite
,,6,0.224,0.024,35.756,16.978,0.933,2.072,12.881,0.209,0.056,Limonite
,,7,0.287,0.036,32.714,19.986,0.769,1.370,14.639,0.182,0.050,Limonite
,,8,0.409,0.031,32.162,21.513,0.785,1.746,15.625,0.227,0.072,Limonite
,,9,0.608,0.001,45.353,7.347,0.642,4.768,8.728,0.400,0.072,Limonite
,,10,0.447,0.021,30.591,23.046,0.715,2.292,15.011,0.263,0.070,Limonite
,,11,0.490,0.009,34.941,18.436,0.743,3.163,12.785,0.311,0.079,Limonite
,,12,0.762,0.001,49.614,2.462,0.475,6.239,6.465,0.493,0.063,Limonite
,,13,0.794,0.001,49.884,2.166,0.557,5.906,6.301,0.485,0.059,Limonite
,,14,0.899,0.001,50.475,2.460,0.531,6.619,5.655,0.515,0.060,Limonite
,,15,0.833,0.001,49.949,2.001,0.451,6.065,6.159,0.487,0.065,Limonite
,,16,0.756,0.001,49.170,2.018,0.521,6.549,6.513,0.545,0.072,Limonite
,,17,0.959,0.001,48.851,2.489,0.448,5.519,6.445,0.410,0.062,Limonite
,,18,0.944,0.001,47.625,2.685,0.514,5.275,6.677,0.353,0.062,Limonite
,,19,0.887,0.001,46.773,2.480,0.540,5.312,7.211,0.381,0.064,Limonite
,,20,1.272,0.055,48.494,2.544,0.592,3.929,6.228,0.686,0.052,Limonite
,,21,1.098,0.017,48.097,4.089,0.449,4.951,6.256,0.673,0.071,Limonite
,,22,1.323,0.058,47.931,3.425,0.533,4.379,6.370,0.813,0.054,Limonite
,,23,1.352,0.089,48.103,2.869,0.570,3.706,6.475,0.853,0.056,Limonite
,,24,1.353,0.101,47.796,2.992,0.601,3.817,5.788,0.941,0.060,Limonite
,,25,1.373,0.001,49.544,4.247,0.601,6.972,4.317,0.695,0.061,Limonite
,,26,1.332,0.028,50.093,4.065,0.707,4.495,4.673,0.655,0.056,Limonite
,,27,1.454,0.001,47.548,7.846,0.512,7.023,5.032,0.526,0.063,Limonite
,,28,1.456,0.001,45.483,11.015,0.681,9.192,4.359,0.665,0.098,Limonite
,,29,1.574,0.001,48.594,5.317,0.686,7.314,4.461,0.672,0.085,Limonite
,,30,1.539,0.033,47.258,3.910,0.634,6.844,5.659,1.163,0.089,Limonite
,,31,1.476,0.085,45.547,5.423,0.800,6.421,6.107,1.422,0.097,Limonite
,,32,1.362,0.123,46.497,3.613,0.864,4.945,6.837,1.339,0.082,Limonite
,,33,1.495,0.046,47.988,4.433,0.724,6.170,5.477,1.117,0.084,Limonite
,,34,1.424,0.001,49.231,5.565,0.629,6.738,4.046,0.874,0.077,Limonite
,,35,1.310,0.011,42.638,12.636,0.871,5.116,5.335,0.702,0.088,Limonite
,,36,1.436,0.331,31.682,15.473,2.038,-0.220,8.239,1.649,0.099,Saprolite
,,37,1.103,0.367,23.408,25.937,1.249,-1.561,5.806,1.820,0.084,Saprolite
,,38,1.061,0.172,23.075,37.440,1.819,0.891,5.094,1.584,0.093,Saprolite
,,39,1.864,0.036,18.582,33.236,11.888,2.090,2.418,0.466,1.238,Saprolite
,,40,2.296,0.031,21.812,33.955,6.883,2.855,3.362,0.548,0.835,Saprolite
,,41,2.004,0.061,25.071,31.693,6.769,2.432,3.344,0.722,0.557,Saprolite
,,42,1.290,0.066,30.673,29.020,2.434,2.474,4.336,0.730,0.106,Saprolite
,,43,1.528,0.075,31.503,25.991,3.615,3.188,4.215,0.930,0.273,Saprolite
,,44,0.677,0.025,12.084,37.622,22.597,1.363,2.167,0.282,1.678,Saprolite
,,45,0.288,0.017,6.350,35.006,38.712,0.616,1.089,0.132,1.404,Bedrock
,,46,0.553,0.017,7.331,39.548,29.918,0.761,1.328,0.187,1.287,Bedrock
25,DDG 016,1,0.125,0.001,42.956,2.774,0.647,7.136,9.564,0.374,0.090,Limonite
,,2,0.137,0.001,41.404,2.616,0.442,5.188,12.179,0.309,0.076,Limonite
,,3,0.142,0.001,35.856,4.333,0.527,3.689,14.472,0.251,0.069,Limonite
,,4,0.230,0.039,34.310,16.500,0.657,1.538,15.264,0.215,0.063,Limonite
,,5,0.226,0.001,33.020,9.793,0.628,3.528,14.248,0.247,0.085,Limonite
,,6,0.225,0.034,31.845,20.783,0.550,1.417,15.431,0.182,0.054,Limonite
,,7,0.312,0.012,33.917,18.949,0.666,2.887,13.288,0.280,0.089,Limonite
,,8,0.641,0.001,49.794,2.380,0.792,6.947,6.150,0.512,0.067,Limonite
,,9,0.690,0.001,49.033,3.437,0.535,6.376,6.668,0.475,0.076,Limonite
,,10,0.696,0.001,50.372,1.813,0.498,6.868,6.190,0.562,0.065,Limonite
,,11,0.787,0.001,50.250,1.970,0.441,6.365,6.264,0.519,0.056,Limonite
,,12,0.883,0.019,49.681,2.046,0.468,5.308,6.864,0.759,0.068,Limonite
,,13,0.951,0.001,50.910,2.392,0.529,5.393,5.753,0.409,0.074,Limonite
,,14,0.863,0.001,50.077,2.078,0.463,5.252,6.440,0.423,0.060,Limonite
,,15,0.827,0.001,49.792,2.033,0.491,6.226,5.919,0.475,0.056,Limonite
,,16,0.894,0.001,50.621,1.917,0.424,5.884,6.026,0.474,0.057,Limonite
,,17,0.903,0.001,50.637,2.059,0.438,6.172,5.806,0.485,0.067,Limonite
,,18,0.861,0.001,50.516,1.874,0.453,6.314,6.048,0.518,0.062,Limonite
,,19,0.927,0.046,48.531,1.770,0.394,5.049,7.693,0.878,0.059,Limonite
,,20,0.927,0.031,48.845,1.949,0.446,5.318,6.958,0.834,0.066,Limonite
,,21,0.880,0.001,49.294,1.886,0.447,5.317,6.691,0.565,0.061,Limonite
,,22,0.954,0.012,49.042,1.919,0.487,4.798,6.689,0.603,0.054,Limonite
,,23,1.027,0.001,49.096,2.383,0.466,5.664,6.010,0.600,0.073,Limonite
,,24,1.011,0.009,48.801,2.276,0.469,5.002,6.316,0.626,0.074,Limonite
,,25,1.002,0.007,49.479,2.385,0.447,4.877,6.271,0.590,0.050,Limonite
,,26,1.030,0.001,49.243,3.380,0.446,6.017,5.218,0.525,0.070,Limonite
,,27,1.082,0.001,48.568,3.351,0.467,6.417,5.144,0.675,0.074,Limonite
,,28,1.157,0.001,46.453,3.931,0.460,6.819,5.658,0.769,0.079,Limonite
,,29,1.283,0.001,47.664,5.204,0.531,7.748,4.979,0.769,0.085,Limonite
,,30,1.472,0.001,48.724,3.757,0.554,8.857,3.792,0.664,0.083,Limonite
,,31,1.381,0.001,50.472,3.459,0.507,7.640,4.160,0.775,0.080,Limonite
,,32,1.286,0.089,48.070,2.709,0.608,5.337,5.717,1.185,0.093,Limonite
,,33,1.692,0.389,44.936,1.911,0.778,3.555,7.206,2.539,0.076,Limonite
,,34,1.486,0.001,48.261,6.465,0.741,8.287,4.089,0.899,0.090,Limonite
,,35,1.478,0.192,41.970,9.341,0.726,6.188,5.723,2.239,0.083,Limonite
,,36,1.122,0.169,37.423,17.176,0.715,4.654,5.421,1.791,0.103,Limonite
,,37,1.486,0.518,43.264,1.509,0.820,0.143,8.350,2.122,0.089,Limonite
,,38,1.620,0.534,33.949,5.169,1.185,-0.775,15.008,2.434,0.111,Limonite
,,39,1.209,0.164,31.778,27.320,1.213,0.772,5.334,1.081,0.058,Limonite
,,40,1.653,0.221,17.059,42.793,5.704,0.430,5.551,2.632,0.089,Saprolite
,,41,2.102,0.102,27.989,29.195,3.969,3.503,4.157,1.306,0.383,Saprolite
,,42,0.825,0.016,6.709,37.679,32.664,0.697,1.227,0.140,1.640,Bedrock
26,DDG 017,1,0.135,0.001,37.583,5.388,0.664,9.430,8.034,0.401,0.130,Limonite
,,2,0.108,0.001,37.242,4.694,0.612,9.135,8.414,0.373,0.097,Limonite
,,3,0.136,0.001,37.087,4.918,0.646,8.981,8.613,0.397,0.115,Limonite
,,4,0.122,0.001,27.508,7.312,0.574,6.981,11.527,0.292,0.107,Limonite
,,5,0.183,0.001,29.660,11.585,0.673,4.924,13.699,0.271,0.095,Limonite
,,6,0.197,0.021,33.238,12.796,0.621,2.298,16.696,0.217,0.055,Limonite
,,7,0.203,0.036,34.300,15.574,0.648,1.568,15.741,0.198,0.043,Limonite
,,8,0.482,0.001,49.676,3.732,0.618,3.770,8.315,0.304,0.046,Limonite
,,9,0.712,0.001,48.870,2.876,0.534,7.643,6.470,0.523,0.087,Limonite
,,10,0.763,0.001,49.849,2.173,0.503,7.087,6.323,0.517,0.069,Limonite
,,11,0.726,0.001,49.904,1.549,0.436,5.456,7.136,0.496,0.064,Limonite
,,12,0.783,0.001,49.946,1.702,0.442,5.788,6.551,0.472,0.048,Limonite
,,13,0.770,0.001,50.334,1.904,0.486,6.555,5.938,0.493,0.065,Limonite
,,14,0.758,0.001,49.873,1.977,0.487,6.872,6.198,0.498,0.071,Limonite
,,15,0.818,0.001,49.488,2.026,0.509,5.798,6.461,0.437,0.061,Limonite
,,16,0.855,0.001,49.685,2.174,0.469,5.755,6.185,0.377,0.056,Limonite
,,17,0.827,0.001,48.825,2.145,0.455,5.574,6.546,0.374,0.068,Limonite
,,18,0.802,0.001,47.986,2.058,0.456,5.203,7.010,0.351,0.063,Limonite
,,19,0.758,0.001,45.973,2.355,0.475,6.180,7.082,0.365,0.055,Limonite
,,20,0.817,0.001,50.709,2.255,0.462,7.329,5.283,0.451,0.068,Limonite
,,21,0.822,0.001,51.345,2.022,0.461,6.307,5.349,0.456,0.071,Limonite
,,22,0.875,0.001,50.962,2.014,0.462,5.757,5.786,0.375,0.052,Limonite
,,23,0.922,0.001,50.733,2.111,0.453,5.663,5.797,0.365,0.062,Limonite
,,24,0.908,0.001,50.407,2.504,0.474,5.969,5.775,0.563,0.057,Limonite
,,25,0.965,0.072,49.475,1.844,0.549,5.085,6.721,1.054,0.060,Limonite
,,26,0.981,0.001,50.356,2.433,0.501,7.684,5.367,0.900,0.081,Limonite
,,27,0.969,0.001,50.627,2.917,0.609,9.196,4.575,0.953,0.081,Limonite
,,28,0.859,0.001,51.895,3.021,0.504,8.699,4.130,0.528,0.073,Limonite
,,29,0.949,0.001,48.771,4.311,0.434,4.996,6.712,0.472,0.060,Limonite
,,30,1.406,0.001,49.687,5.020,0.478,7.667,4.352,0.694,0.082,Limonite
,,31,1.596,0.001,51.312,5.064,0.527,9.875,2.956,0.479,0.095,Limonite
,,32,1.523,0.001,49.543,6.403,0.793,9.848,3.267,0.520,0.083,Limonite
,,33,1.684,0.072,46.320,6.032,1.363,6.607,5.169,1.390,0.084,Limonite
,,34,1.484,0.058,47.396,5.546,1.025,5.731,5.603,1.126,0.067,Limonite
,,35,1.287,0.141,36.534,17.181,2.287,3.736,6.951,1.431,0.090,Limonite
,,36,1.313,0.176,38.832,12.434,1.418,1.770,6.432,1.060,0.063,Limonite
,,37,1.928,1.950,34.179,2.155,3.718,-5.772,13.814,5.302,0.072,Saprolite
,,38,1.350,0.154,38.835,13.842,3.355,4.065,4.823,1.531,0.240,Saprolite
,,39,0.703,0.018,8.681,38.778,26.496,0.923,1.635,0.176,1.007,Saprolite
,,40,1.056,0.168,26.031,35.709,1.122,1.620,4.904,1.729,0.108,Saprolite
,,41,0.835,0.148,19.196,47.842,1.677,0.636,4.186,1.836,0.085,Saprolite
,,42,1.196,0.218,22.205,37.154,3.114,1.604,5.543,2.707,0.140,Saprolite
,,43,1.284,0.068,20.141,46.330,3.526,0.720,3.150,0.690,0.251,Saprolite
,,44,1.607,0.059,19.377,42.086,6.754,0.801,2.827,0.518,0.401,Saprolite
,,45,2.384,0.084,16.603,34.598,18.477,1.480,2.399,1.019,0.471,Saprolite
,,46,1.777,0.019,8.151,38.214,29.478,0.736,1.191,0.162,0.532,Bedrock
,,47,0.808,0.017,6.732,36.401,34.940,0.562,1.190,0.124,0.540,Bedrock
27,DDG 022,1,0.659,0.001,48.264,4.574,1.061,5.647,5.906,0.645,0.092,Limonite
,,2,0.125,0.001,50.477,0.970,0.619,5.242,7.109,0.311,0.053,Limonite
,,3,0.088,0.001,50.715,0.841,0.512,4.515,7.473,0.267,0.048,Limonite
,,4,0.209,0.001,36.975,3.802,0.779,3.752,15.252,0.265,0.064,Limonite
,,5,0.487,0.001,44.577,3.739,0.610,5.687,8.788,0.395,0.064,Limonite
,,6,0.641,0.001,48.659,3.249,0.597,6.859,6.857,0.471,0.068,Limonite
,,7,0.700,0.001,50.685,1.461,0.493,6.191,6.362,0.524,0.063,Limonite
,,8,0.731,0.001,50.524,2.335,1.271,5.973,6.326,0.500,0.057,Limonite
,,9,0.787,0.001,51.165,1.828,0.555,5.480,6.181,0.388,0.059,Limonite
,,10,0.805,0.001,51.241,1.873,0.541,5.782,5.985,0.425,0.070,Limonite
,,11,0.911,0.001,51.058,2.147,0.502,6.119,5.613,0.432,0.072,Limonite
,,12,0.838,0.001,51.166,1.919,0.539,6.479,5.777,0.480,0.072,Limonite
,,13,0.818,0.001,50.172,1.796,0.470,5.509,6.508,0.460,0.068,Limonite
,,14,0.811,0.001,49.039,2.166,0.594,5.662,6.494,0.394,0.052,Limonite
,,15,0.802,0.001,47.997,2.230,0.490,5.265,7.011,0.347,0.063,Limonite
,,16,0.801,0.001,48.047,2.206,0.438,5.669,6.857,0.358,0.061,Limonite
,,17,0.801,0.001,48.124,2.228,0.474,5.882,6.594,0.372,0.067,Limonite
,,18,0.822,0.001,50.333,2.171,0.457,6.292,5.884,0.412,0.064,Limonite
,,19,0.857,0.001,50.786,2.253,0.481,6.582,5.538,0.420,0.071,Limonite
,,20,0.840,0.001,50.291,2.271,0.384,6.080,5.726,0.373,0.055,Limonite
,,21,0.823,0.001,51.014,2.256,0.462,7.331,5.057,0.451,0.071,Limonite
,,22,0.844,0.001,51.352,2.054,0.419,5.966,5.397,0.436,0.054,Limonite
,,23,0.786,0.001,50.896,1.965,0.418,6.537,5.634,0.444,0.065,Limonite
,,24,0.915,0.001,50.174,2.257,0.456,5.901,5.626,0.378,0.059,Limonite
,,25,0.822,0.001,51.787,2.527,0.505,8.550,4.386,0.499,0.074,Limonite
,,26,0.851,0.001,51.940,2.908,0.451,8.493,4.046,0.480,0.071,Limonite
,,27,0.995,0.001,51.960,2.462,0.424,6.734,4.852,0.441,0.069,Limonite
,,28,1.038,0.001,52.271,2.956,0.433,8.493,3.769,0.507,0.076,Limonite
,,29,1.210,0.001,52.665,2.235,0.446,5.962,4.293,0.475,0.060,Limonite
,,30,1.361,0.001,53.668,3.693,0.512,8.987,2.723,0.472,0.074,Limonite
,,31,1.606,0.001,49.798,3.807,0.807,6.779,4.394,0.406,0.072,Limonite
,,32,1.538,0.001,51.090,2.998,0.664,6.063,4.204,0.432,0.054,Limonite
,,33,1.571,0.001,54.281,2.901,0.508,6.098,2.434,0.581,0.061,Limonite
,,34,1.666,0.618,39.986,2.155,1.172,-0.991,9.827,2.362,0.064,Saprolite
,,35,1.653,0.688,32.233,6.382,5.384,-1.255,10.262,3.089,0.113,Saprolite
,,36,2.025,0.559,30.526,12.120,3.872,0.925,6.721,3.505,0.271,Saprolite
,,37,2.005,0.334,32.480,15.291,3.657,1.689,4.958,2.334,0.336,Saprolite
,,38,0.965,0.139,18.271,33.848,14.552,1.104,3.794,1.388,0.856,Saprolite
,,39,2.088,0.186,19.759,30.226,11.624,0.806,4.038,1.578,1.472,Saprolite
,,40,0.305,0.017,6.393,34.939,36.425,0.695,1.325,0.137,1.611,Bedrock
,,41,0.311,0.017,6.963,36.352,32.143,0.752,1.475,0.150,1.434,Bedrock
28,DDG 030,1,0.280,0.070,50.090,2.433,2.986,3.251,,,6.428,Limonite
,,2,0.262,0.072,51.926,0.461,1.111,4.335,,,7.313,Limonite
,,3,0.304,0.072,51.711,0.438,1.169,3.379,,,8.075,Limonite
,,4,0.307,0.068,48.734,0.796,1.587,2.688,,,9.999,Limonite
,,5,0.247,0.059,43.446,0.585,1.280,2.150,,,10.552,Limonite
,,6,0.147,0.051,42.361,0.917,1.378,1.566,,,11.482,Limonite
,,7,0.338,0.064,44.546,2.415,1.185,2.206,,,9.311,Limonite
